19%,"50-99,9",85
19%,"100-149,9",112
19%,"150-199,9",143
19%,"200-299,9",203
19%,"300-399,9",246
19%,"400-499,9",302
19%,"500-599,9",301
19%,"600-699,9",347
19%,700-1000,430
24%,"0-49,9",74
24%,"50-99,9",85
24%,"100-149,9",112
24%,"150-199,9",143
24%,"200-299,9",203
24%,"300-399,9",246
24%,"400-499,9",302
24%,"500-599,9",301
24%,"600-699,9",347
24%,700-1000,430
27%,"0-49,9",74
27%,"50-99,9",85
27%,"100-149,9",112
27%,"150-199,9",143
27%,"200-299,9",203
27%,"300-399,9",246
27%,"400-499,9",302
27%,"500-599,9",301
27%,"600-699,9",347
27%,700-1000,430
28%,"0-49,9",74
28%,"50-99,9",85
28%,"100-149,9",112
28%,"150-199,9",143
28%,"200-299,9",203
28%,"300-399,9",246
28%,"400-499,9",302
28%,"500-599,9",301
28%,"600-699,9",347
28%,700-1000,430
31%,"0-49,9",74
31%,"50-99,9",85
31%,"100-149,9",112
31%,"150-199,9",143
31%,"200-299,9",203
31%,"300-399,9",246
31%,"400-499,9",302
31%,"500-599,9",301
31%,"600-699,9",347
31%,700-1000,430
32%,"0-49,9",74
32%,"50-99,9",85
32%,"100-149,9",112
32%,"150-199,9",143
32%,"200-299,9",203
32%,"300-399,9",246
32%,"400-499,9",302
32%,"500-599,9",301
32%,"600-699,9",347
32%,700-1000,430
37%,"0-49,9",74
37%,"50-99,9",85
37%,"100-149,9",112
37%,"150-199,9",143
37%,"200-299,9",203
37%,"300-399,9",246
37%,"400-499,9",302
37%,"500-599,9",301
37%,"600-699,9",347
37%,700-1000,430
41%,"0-49,9",74
41%,"50-99,9",85
41%,"100-149,9",112
41%,"150-199,9",143
41%,"200-299,9",203
41%,"300-399,9",246
41%,"400-499,9",302
41%,"500-599,9",301
41%,"600-699,9",347
41%,700-1000,430
47%,"0-49,9",74
47%,"50-99,9",85
47%,"100-149,9",112
47%,"150-199,9",143
47%,"200-299,9",203
47%,"300-399,9",246
47%,"400-499,9",302
47%,"500-599,9",301
47%,"600-699,9",347
47%,700-1000,430
48%,"0-49,9",74
48%,"50-99,9",85
48%,"100-149,9",112
48%,"150-199,9",143
48%,"200-299,9",203
48%,"300-399,9",246
48%,"400-499,9",302
48%,"500-599,9",301
48%,"600-699,9",347
48%,700-1000,430
51%,"0-49,9",74
51%,"50-99,9",85
51%,"100-149,9",112
51%,"150-199,9",143
51%,"200-299,9",203
51%,"300-399,9",246
51%,"400-499,9",302
51%,"500-599,9",301
51%,"600-699,9",347
51%,700-1000,430
76%,"0-49,9",74
76%,"50-99,9",85
76%,"100-149,9",112
76%,"150-199,9",143
76%,"200-299,9",203
76%,"300-399,9",246
76%,"400-499,9",302
76%,"500-599,9",301
76%,"600-699,9",347
76%,700-1000,430
79%,"0-49,9",74
79%,"50-99,9",85
79%,"100-149,9",112
79%,"150-199,9",143
79%,"200-299,9",203
79%,"300-399,9",246
79%,"400-499,9",302
79%,"500-599,9",301
79%,"600-699,9",347
79%,700-1000,430
80%,"0-49,9",74
80%,"50-99,9",85
80%,"100-149,9",112
80%,"150-199,9",143
80%,"200-299,9",203
80%,"300-399,9",246
80%,"400-499,9",302
80%,"500-599,9",301
80%,"600-699,9",347
80%,700-1000,430
82%,"0-49,9",74
82%,"50-99,9",85
82%,"100-149,9",112
82%,"150-199,9",143
82%,"200-299,9",203
82%,"300-399,9",246
82%,"400-499,9",302
82%,"500-599,9",301
82%,"600-699,9",347
82%,700-1000,430
86%,"0-49,9",74
86%,"50-99,9",85
86%,"100-149,9",112
86%,"150-199,9",143
86%,"200-299,9",203
86%,"300-399,9",246
86%,"400-499,9",302
86%,"500-599,9",301
86%,"600-699,9",347
86%,700-1000,430
09%,"0-49,9",77
09%,"50-99,9",89
09%,"100-149,9",118
09%,"150-199,9",150
09%,"200-299,9",215
09%,"300-399,9",260
09%,"400-499,9",320
09%,"500-599,9",318
09%,"600-699,9",368
09%,700-1000,455
14%,"0-49,9",77
14%,"50-99,9",89
14%,"100-149,9",118
14%,"150-199,9",150
14%,"200-299,9",215
14%,"300-399,9",260
14%,"400-499,9",320
14%,"500-599,9",318
14%,"600-699,9",368
14%,700-1000,455
16%,"0-49,9",77
16%,"50-99,9",89
16%,"100-149,9",118
16%,"150-199,9",150
16%,"200-299,9",215
16%,"300-399,9",260
16%,"400-499,9",320
16%,"500-599,9",318
16%,"600-699,9",368
16%,700-1000,455
17%,"0-49,9",77
17%,"50-99,9",89
17%,"100-149,9",118
17%,"150-199,9",150
17%,"200-299,9",215
17%,"300-399,9",260
17%,"400-499,9",320
17%,"500-599,9",318
17%,"600-699,9",368
17%,700-1000,455
33%,"0-49,9",77
33%,"50-99,9",89
33%,"100-149,9",118
33%,"150-199,9",150
33%,"200-299,9",215
33%,"300-399,9",260
33%,"400-499,9",320
33%,"500-599,9",318
33%,"600-699,9",368
33%,700-1000,455
46%,"0-49,9",77
46%,"50-99,9",89
46%,"100-149,9",118
46%,"150-199,9",150
46%,"200-299,9",215
46%,"300-399,9",260
46%,"400-499,9",320
46%,"500-599,9",318
46%,"600-699,9",368
46%,700-1000,455
56%,"0-49,9",77
56%,"50-99,9",89
56%,"100-149,9",118
56%,"150-199,9",150
56%,"200-299,9",215
56%,"300-399,9",260
56%,"400-499,9",320
56%,"500-599,9",318
56%,"600-699,9",368
56%,700-1000,455
59%,"0-49,9",77
59%,"50-99,9",89
59%,"100-149,9",118
59%,"150-199,9",150
59%,"200-299,9",215
59%,"300-399,9",260
59%,"400-499,9",320
59%,"500-599,9",318
59%,"600-699,9",368
59%,700-1000,455
61%,"0-49,9",77
61%,"50-99,9",89
61%,"100-149,9",118
61%,"150-199,9",150
61%,"200-299,9",215
61%,"300-399,9",260
61%,"400-499,9",320
61%,"500-599,9",318
61%,"600-699,9",368
61%,700-1000,455
62%,"0-49,9",77
62%,"50-99,9",89
62%,"100-149,9",118
62%,"150-199,9",150
62%,"200-299,9",215
62%,"300-399,9",260
62%,"400-499,9",320
62%,"500-599,9",318
62%,"600-699,9",368
62%,700-1000,455
65%,"0-49,9",77
65%,"50-99,9",89
65%,"100-149,9",118
65%,"150-199,9",150
65%,"200-299,9",215
65%,"300-399,9",260
65%,"400-499,9",320
65%,"500-599,9",318
65%,"600-699,9",368
65%,700-1000,455
72%,"0-49,9",77
72%,"50-99,9",89
72%,"100-149,9",118
72%,"150-199,9",150
72%,"200-299,9",215
72%,"300-399,9",260
72%,"400-499,9",320
72%,"500-599,9",318
72%,"600-699,9",368
72%,700-1000,455
75%,"0-49,9",77
75%,"50-99,9",89
75%,"100-149,9",118
75%,"150-199,9",150
75%,"200-299,9",215
75%,"300-399,9",260
75%,"400-499,9",320
75%,"500-599,9",318
75%,"600-699,9",368
75%,700-1000,455
77%,"0-49,9",77
77%,"50-99,9",89
