27*,"399,9-499,9",300
27*,"499,9-599,9",300
27*,"599,9-699,9",300
27*,"699,9-1000",300
28*,"0-49,9",74
28*,"0,49-99,9",85
28*,"99,9-149,9",112
28*,"149,9-199,9",143
28*,"199,9-299,9",203
28*,"299,9-399,9",246
28*,"399,9-499,9",300
28*,"499,9-599,9",300
28*,"599,9-699,9",300
28*,"699,9-1000",300
31*,"0-49,9",74
31*,"0,49-99,9",85
31*,"99,9-149,9",112
31*,"149,9-199,9",143
31*,"199,9-299,9",203
31*,"299,9-399,9",246
31*,"399,9-499,9",300
31*,"499,9-599,9",300
31*,"599,9-699,9",300
31*,"699,9-1000",300
32*,"0-49,9",74
32*,"0,49-99,9",85
32*,"99,9-149,9",112
32*,"149,9-199,9",143
32*,"199,9-299,9",203
32*,"299,9-399,9",246
32*,"399,9-499,9",300
32*,"499,9-599,9",300
32*,"599,9-699,9",300
32*,"699,9-1000",300
37*,"0-49,9",74
37*,"0,49-99,9",85
37*,"99,9-149,9",112
37*,"149,9-199,9",143
37*,"199,9-299,9",203
37*,"299,9-399,9",246
37*,"399,9-499,9",300
37*,"499,9-599,9",300
37*,"599,9-699,9",300
37*,"699,9-1000",300
41*,"0-49,9",74
41*,"0,49-99,9",85
41*,"99,9-149,9",112
41*,"149,9-199,9",143
41*,"199,9-299,9",203
41*,"299,9-399,9",246
41*,"399,9-499,9",300
41*,"499,9-599,9",300
41*,"599,9-699,9",300
41*,"699,9-1000",300
47*,"0-49,9",74
47*,"0,49-99,9",85
47*,"99,9-149,9",112
47*,"149,9-199,9",143
47*,"199,9-299,9",203
47*,"299,9-399,9",246
47*,"399,9-499,9",300
47*,"499,9-599,9",300
47*,"599,9-699,9",300
47*,"699,9-1000",300
48*,"0-49,9",74
48*,"0,49-99,9",85
48*,"99,9-149,9",112
48*,"149,9-199,9",143
48*,"199,9-299,9",203
48*,"299,9-399,9",246
48*,"399,9-499,9",300
48*,"499,9-599,9",300
48*,"599,9-699,9",300
48*,"699,9-1000",300
51*,"0-49,9",74
51*,"0,49-99,9",85
51*,"99,9-149,9",112
51*,"149,9-199,9",143
51*,"199,9-299,9",203
51*,"299,9-399,9",246
51*,"399,9-499,9",300
51*,"499,9-599,9",300
51*,"599,9-699,9",300
51*,"699,9-1000",300
76*,"0-49,9",74
76*,"0,49-99,9",85
76*,"99,9-149,9",112
76*,"149,9-199,9",143
76*,"199,9-299,9",203
76*,"299,9-399,9",246
76*,"399,9-499,9",300
76*,"499,9-599,9",300
76*,"599,9-699,9",300
76*,"699,9-1000",300
79*,"0-49,9",74
79*,"0,49-99,9",85
79*,"99,9-149,9",112
79*,"149,9-199,9",143
79*,"199,9-299,9",203
79*,"299,9-399,9",246
79*,"399,9-499,9",300
79*,"499,9-599,9",300
79*,"599,9-699,9",300
79*,"699,9-1000",300
80*,"0-49,9",74
80*,"0,49-99,9",85
80*,"99,9-149,9",112
80*,"149,9-199,9",143
80*,"199,9-299,9",203
80*,"299,9-399,9",246
80*,"399,9-499,9",300
80*,"499,9-599,9",300
80*,"599,9-699,9",300
80*,"699,9-1000",300
82*,"0-49,9",74
82*,"0,49-99,9",85
82*,"99,9-149,9",112
82*,"149,9-199,9",143
82*,"199,9-299,9",203
82*,"299,9-399,9",246
82*,"399,9-499,9",300
82*,"499,9-599,9",300
82*,"599,9-699,9",300
82*,"699,9-1000",300
86*,"0-49,9",74
86*,"0,49-99,9",85
86*,"99,9-149,9",112
86*,"149,9-199,9",143
86*,"199,9-299,9",203
86*,"299,9-399,9",246
86*,"399,9-499,9",300
86*,"499,9-599,9",300
86*,"599,9-699,9",300
86*,"699,9-1000",300
09*,"0-49,9",77
09*,"0,49-99,9",89
09*,"99,9-149,9",118
09*,"149,9-199,9",150
09*,"199,9-299,9",215
09*,"299,9-399,9",260
09*,"399,9-499,9",300
09*,"499,9-599,9",300
09*,"599,9-699,9",300
09*,"699,9-1000",300
14*,"0-49,9",77
14*,"0,49-99,9",89
14*,"99,9-149,9",118
14*,"149,9-199,9",150
14*,"199,9-299,9",215
14*,"299,9-399,9",260
14*,"399,9-499,9",300
14*,"499,9-599,9",300
14*,"599,9-699,9",300
14*,"699,9-1000",300
16*,"0-49,9",77
16*,"0,49-99,9",89
16*,"99,9-149,9",118
16*,"149,9-199,9",150
16*,"199,9-299,9",215
16*,"299,9-399,9",260
16*,"399,9-499,9",300
16*,"499,9-599,9",300
16*,"599,9-699,9",300
16*,"699,9-1000",300
17*,"0-49,9",77
17*,"0,49-99,9",89
17*,"99,9-149,9",118
17*,"149,9-199,9",150
17*,"199,9-299,9",215
17*,"299,9-399,9",260
17*,"399,9-499,9",300
17*,"499,9-599,9",300
17*,"599,9-699,9",300
17*,"699,9-1000",300
33*,"0-49,9",77
33*,"0,49-99,9",89
33*,"99,9-149,9",118
33*,"149,9-199,9",150
33*,"199,9-299,9",215
33*,"299,9-399,9",260
